"species","frequency_wc","freq"
"Convallaria majalis","-1.964","721"
"Convolvulus arvensis","-0.156","1882"
"Conyza canadensis","-0.154","764"
"Cornus mas","-1.905","129"
"Cornus sanguinea","-1.862","472"
"Coronilla vaginalis","0","30"
"Corydalis cava","-1.95","102"
"Corydalis intermedia","-1.867","22"
"Corydalis solida","-1.973","45"
"Corylus avellana","-1.93","796"
"Corynephorus canescens","-0.035","147"
"Cota austriaca","0.204","70"
"Cotoneaster integerrimus","-1.587","219"
"Crambe tataria","0.032","20"
"Crataegus levigata","-1.893","270"
"Crataegus monogyna s.lat.","-1.787","299"
"Crepis biennis","-0.347","571"
"Crepis capillaris","-0.001","38"
"Crepis conyzifolia","-0.564","54"
"Crepis foetida ssp. rhoeadifolia","-0.249","32"
"Crepis mollis","-0.302","336"
"Crepis paludosa","-1.3","1175"
"Crepis praemorsa","-1.375","40"
"Cruciata laevipes","-1.439","85"
"Cruciata verna","-1.175","372"
"Cuscuta epithymum","-0.576","41"
"Cuscuta europaea","-0.88","90"
"Cyclamen purpurascens","-1.99","36"
"Cymbalaria muralis","-0.725","49"
"Cynodon dactylon","-0.081","44"
"Cynoglossum officinale","-0.62","21"
"Cynosurus cristatus","-0.142","385"
"Cyperus fuscus","-0.251","172"
"Cystopteris fragilis","-1.753","191"
"Cytisus nigricans","-1.714","234"
"Cytisus procumbens","-0.93","39"
"Cytisus scoparius","-1.545","47"
"Dactylis glomerata","-0.931","3752"
"Dactylis polygama","-1.929","450"
"Dactylorhiza incarnata","-0.574","24"
"Dactylorhiza maculata agg.","-1.361","103"
"Dactylorhiza majalis","-0.449","451"
"Danthonia decumbens","-1.045","394"
"Daphne mezereum","-1.977","442"
"Datura stramonium","0.264","25"
"Daucus carota","-0.149","1224"
"Dentaria bulbifera","-1.971","700"
"Dentaria enneaphyllos","-1.988","277"
"Dentaria glandulosa","-1.967","91"
"Deschampsia cespitosa","-1.296","2746"
"Descurainia sophia","-0.053","443"
"Dianthus carthusianorum agg.","-0.896","698"
"Dianthus deltoides","-0.248","265"
"Dianthus superbus","-1.614","33"
"Dictamnus albus","-1.658","145"
"Digitalis grandiflora","-1.871","175"
"Digitalis purpurea","-1.201","52"
"Digitaria ischaemum","0.381","50"
"Digitaria sanguinalis","-0.032","77"
"Diplotaxis muralis","-0.178","26"
"Dipsacus fullonum","-0.289","47"
"Doronicum austriacum","-1.533","45"
"Dorycnium pentaphyllum agg.","-0.728","201"
"Drosera rotundifolia","-1.348","305"
"Dryopteris carthusiana","-1.903","767"
"Dryopteris dilatata","-1.91","1173"
"Dryopteris filix-mas","-1.931","1595"
"Echinochloa crus-galli","-0.029","746"
"Echinocystis lobata","-0.462","42"
"Echinops sphaerocephalus","-0.371","126"
"Echium vulgare","-0.391","651"
"Elatine hexandra","-0.541","21"
"Elatine hydropiper agg.","-0.375","89"
"Elatine triandra","-0.222","84"
"Eleocharis acicularis","-0.56","398"
"Eleocharis ovata","-0.313","270"
"Eleocharis palustris agg.","-0.642","547"
"Eleocharis uniglumis","-0.407","54"
"Elodea canadensis","-0.511","388"
"Elymus caninus","-1.612","390"
"Elymus hispidus","-0.66","221"
"Elymus repens","-0.396","3344"
"Empetrum nigrum agg.","-1.927","108"
"Epilobium adenocaulon","-0.868","525"
"Epilobium alpestre","-0.939","22"
"Epilobium alsinifolium","-0.498","20"
"Epilobium angustifolium","-1.317","534"
"Epilobium collinum","-1.251","78"
"Epilobium hirsutum","-0.612","260"
"Epilobium montanum","-1.796","720"
"Epilobium obscurum","-0.65","163"
"Epilobium palustre","-0.766","711"
"Epilobium parviflorum","-0.654","64"
"Epilobium roseum","-1.144","106"
"Epilobium tetragonum agg.","-0.357","110"
"Epipactis atrorubens","-1.536","31"
"Epipactis helleborine agg.","-1.946","131"
"Epipactis palustris","-0.625","61"
"Epipactis purpurata","-2","20"
"Equisetum arvense","-0.938","1603"
"Equisetum fluviatile","-0.809","1121"
"Equisetum palustre","-0.697","1413"
"Equisetum pratense","-1.086","21"
"Equisetum sylvaticum","-1.481","604"
"Equisetum telmateia","-1.063","26"
"Eragrostis minor","0.521","67"
"Erigeron acris agg.","-0.152","71"
"Erigeron annuus agg.","-0.515","126"
"Eriophorum angustifolium","-0.976","866"
"Eriophorum latifolium","-0.667","236"
"Eriophorum vaginatum","-1.896","423"
"Erodium cicutarium","0.228","333"
"Erophila verna","0.05","205"
"Eryngium campestre","-0.429","550"
"Erysimum cheiranthoides","0.2","330"
"Erysimum crepidifolium","-0.87","130"
"Erysimum diffusum","-0.612","32"
"Erysimum odoratum","-1.436","21"
"Erysimum virgatum agg.","-0.907","34"
"Euonymus europaeus","-1.804","282"
"Euonymus verrucosus","-1.926","100"
"Eupatorium cannabinum","-1.113","274"
"Euphorbia amygdaloides","-1.99","381"
"Euphorbia cyparissias","-1.177","1676"
"Euphorbia dulcis","-1.958","323"
"Euphorbia epithymoides","-1.709","36"
"Euphorbia esula","-0.417","161"
"Euphorbia exigua","0.424","270"
"Euphorbia falcata","0.523","28"
"Euphorbia helioscopia","0.464","734"
"Euphorbia peplus","0.045","74"
"Euphorbia platyphyllos","-0.102","39"
"Euphorbia virgata","-0.72","79"
"Euphrasia officinalis","-0.341","182"
"Euphrasia stricta","-0.412","69"
"Fagus sylvatica","-1.986","1937"
"Falcaria vulgaris","-0.455","289"
"Fallopia convolvulus","-0.739","1646"
"Fallopia dumetorum","-1.44","237"
"Festuca altissima","-1.985","392"
"Festuca arundinacea","-0.183","64"
"Festuca brevipila","-0.425","123"
"Festuca filiformis","-0.764","91"
"Festuca gigantea","-1.773","683"
"Festuca heterophylla","-1.963","231"
"Festuca ovina","-1.631","1209"
"Festuca pallens","-1.272","322"
"Festuca pratensis","-0.198","1713"
"Festuca psammophila ssp. dominii","0","23"
"Festuca psammophila ssp. psammophila","-0.035","25"
"Festuca rubra","-0.547","3036"
"Festuca rupicola","-0.713","1096"
"Festuca supina","-0.759","78"
"Festuca valesiaca","-0.47","408"
"Ficaria verna ssp. verna","-1.69","490"
"Filago arvensis","-0.949","39"
"Filago minima","0.05","47"
"Filipendula ulmaria","-1.063","2025"
"Filipendula vulgaris","-0.776","340"
"Fourraea alpina","-1.914","31"
"Fragaria moschata","-1.882","464"
"Fragaria vesca","-1.795","1278"
"Fragaria viridis","-0.989","696"
"Frangula alnus","-1.893","422"
"Fraxinus angustifolia","-1.835","67"
"Fraxinus excelsior","-1.917","996"
"Fumaria officinalis","0.052","281"
"Fumaria rostellata","0.523","26"
"Fumaria vaillantii","-0.425","64"
"Gagea bohemica","0.009","35"
"Gagea lutea","-1.846","79"
"Galanthus nivalis","-1.923","22"
"Galatella linosyris","-0.281","193"
"Galeobdolon luteum agg.","-1.941","1771"
"Galeopsis angustifolia","-0.84","59"
"Galeopsis ladanum","-1.285","91"
"Galeopsis pubescens","-1.697","387"
"Galeopsis speciosa","-1.768","218"
"Galeopsis tetrahit agg.","-1.316","1836"
"Galinsoga parviflora","0.085","407"
"Galinsoga quadriradiata","0.276","354"
"Galium aparine","-1.252","3052"
"Galium boreale ssp. boreale","-1.102","393"
"Galium glaucum","-1.247","311"
"Galium intermedium","-1.971","182"
"Galium mollugo agg.","-0.914","2227"
"Galium odoratum","-1.968","1764"
"Galium palustre agg.","-0.923","2342"
"Galium pumilum agg.","-1.419","482"
"Galium rivale","-0.457","34"
"Galium rotundifolium","-1.974","152"
"Galium saxatile","-1.503","259"
"Galium spurium","0.242","168"
"Galium sylvaticum","-1.968","706"
"Galium tricornutum","-0.698","22"
"Galium uliginosum","-0.53","1502"
"Galium verum agg.","-0.739","1320"
"Galium x pomeranicum","-0.386","23"
"Genista germanica","-1.828","116"
"Genista pilosa","-1.554","132"
"Genista tinctoria","-1.659","402"
"Gentiana asclepiadea","-1.464","150"
"Gentianella germanica s.lat.","-0.702","30"
"Gentianopsis ciliata","-0.602","34"
"Geranium columbinum","-0.001","42"
"Geranium dissectum","0.462","219"
"Geranium palustre","-0.608","314"
"Geranium phaeum","-1.584","52"
"Geranium pratense","-0.334","812"
"Geranium pusillum","0.058","558"
"Geranium pyrenaicum","-0.117","21"
"Geranium robertianum","-1.804","1754"
"Geranium sanguineum","-1.248","257"
"Geranium sylvaticum","-0.927","329"
"Geum rivale","-1.168","371"
"Geum urbanum","-1.677","1648"
"Gladiolus imbricatus","-0.155","28"
"Glechoma hederacea agg.","-1.372","1400"
"Globularia bisnagarica","-0.592","34"
"Glyceria declinata","-0.394","26"
"Glyceria fluitans","-0.951","1095"
"Glyceria maxima","-0.769","1120"
"Glyceria notata","-0.741","196"
"Gnaphalium sylvaticum","-1.235","107"
"Gnaphalium uliginosum","-0.072","616"
"Gratiola officinalis","-0.426","48"
"Gymnadenia conopsea","-0.558","83"
"Gymnocarpium dryopteris","-1.932","411"
"Gymnocarpium robertianum","-1.384","27"
"Gypsophila muralis","-0.042","93"
"Hacquetia epipactis","-1.986","120"
"Hedera helix","-1.956","242"
"Helianthemum canum","-0.386","53"
"Helianthemum grandiflorum","-0.704","414"
"Helianthus tuberosus","-0.399","135"
"Helichrysum arenarium","-0.513","54"
"Helictochloa pratensis","-0.684","263"
"Hepatica nobilis","-1.971","732"
"Heracleum mantegazzianum","-0.793","32"
"Heracleum sphondylium","-1.2","1947"
"Herniaria glabra","0.319","101"
"Hesperis matronalis","-1.233","27"
"Hieracium alpinum agg.","-0.72","75"
"Hieracium lachenalii","-1.862","681"
"Hieracium laevigatum","-1.632","142"
"Hieracium maculatum","-1.916","21"
"Hieracium murorum","-1.955","1519"
"Hieracium sabaudum s.lat.","-1.858","729"
"Hieracium schmidtii","-1.569","78"
"Hieracium umbellatum","-1.249","189"
"Holcus lanatus","-0.424","2155"
"Holcus mollis","-0.889","702"
"Holosteum umbellatum","-0.242","103"
"Homogyne alpina","-1.719","370"
"Hordelymus europaeus","-1.976","283"
"Hordeum murinum","-0.098","133"
"Hottonia palustris","-0.746","77"
"Humulus lupulus","-1.416","326"
"Huperzia selago","-1.649","40"
"Hydrocharis morsus-ranae","-0.343","148"
"Hydrocotyle vulgaris","-0.931","43"
"Hylotelephium telephium agg.","-1.567","628"
"Hyoscyamus niger","0.191","29"
"Hypericum hirsutum","-1.856","107"
"Hypericum maculatum","-0.676","1065"
"Hypericum montanum","-1.954","92"
"Hypericum perforatum","-1.245","1867"
"Hypericum tetrapterum","-0.599","112"
"Hypochaeris maculata","-0.516","56"
"Hypochaeris radicata","-0.389","286"
"Hypochaeris uniflora","-0.629","23"
"Impatiens glandulifera","-0.874","270"
"Impatiens noli-tangere","-1.798","1494"
"Impatiens parviflora","-1.7","1235"
"Inula britannica","-0.249","86"
"Inula conyzae","-1.571","112"
"Inula ensifolia","-0.857","137"
"Inula hirta","-1.305","97"
"Inula oculus-christi","-0.686","28"
"Inula salicina","-1.208","189"
"Iris pseudacorus","-1.077","506"
"Iris pumila","-1.07","32"
"Iris sibirica","-0.743","49"
"Iris variegata","-1.717","34"
"Isolepis setacea","-0.124","22"
"Isopyrum thalictroides","-1.987","93"
"Jasione montana","-1.194","264"
"Jovibarba globifera ssp. globifera","-0.389","78"
"Juncus acutiflorus","-0.45","82"
"Juncus alpinoarticulatus","-0.68","38"
"Juncus articulatus","-0.517","829"
"Juncus bufonius","-0.184","512"
"Juncus bulbosus","-0.686","168"
"Juncus compressus","-0.488","77"
"Juncus conglomeratus","-0.571","678"
"Juncus effusus","-0.908","2020"
"Juncus filiformis","-0.866","480"
"Juncus gerardii","-0.284","79"
"Juncus inflexus","-0.391","249"
"Juncus ranarius","-0.105","22"
"Juncus squarrosus","-0.957","55"
"Juncus tenuis","-0.16","90"
"Juniperus communis","-1.64","77"
"Jurinea mollis","0","30"
"Kickxia elatine","0.523","25"
"Kickxia spuria","0.496","36"
"Knautia arvensis agg.","-0.537","1509"
"Knautia drymeia","-1.904","62"
"Knautia maxima","-1.604","37"
"Koeleria glauca","0","31"
"Koeleria macrantha","-0.534","664"
"Koeleria pyramidata","-0.597","382"
"Lactuca perennis","-0.577","56"
"Lactuca serriola","-0.287","672"
"Lamium album","-0.648","596"
"Lamium amplexicaule","0.377","561"
"Lamium maculatum","-1.647","747"
"Lamium purpureum","-0.179","769"
"Lapsana communis","-1.222","1086"
"Larix decidua","-1.946","151"
"Laserpitium latifolium","-1.722","26"
"Laserpitium prutenicum","-1.23","26"
"Lathraea squamaria","-1.947","30"
"Lathyrus latifolius","-0.71","48"
"Lathyrus linifolius","-1.377","33"
"Lathyrus niger","-1.957","409"
"Lathyrus pannonicus","-1.687","27"
